Date,Region,Product,Sales,Profit,Customer_Rating
2025-01-01,North,Gemini Pro Subscription,1500,400,4.8
2025-01-02,South,Cloud Storage Basic,800,200,4.2
2025-01-03,East,AI Consulting Service,5000,1200,4.9
2025-01-04,West,Gemini Pro Subscription,1600,450,4.7
2025-01-05,North,Cloud Storage Basic,850,210,4.1
2025-01-06,South,AI Consulting Service,5200,1300,5.0
2025-01-07,East,Gemini Pro Subscription,1450,380,4.6
2025-01-08,West,Cloud Storage Premium,3000,900,4.9
2025-01-09,North,AI Consulting Service,4900,1150,4.8
2025-01-10,South,Gemini Pro Subscription,1700,500,4.9
2025-01-11,East,Cloud Storage Basic,900,250,4.3
2025-01-12,West,AI Consulting Service,5500,1400,5.0
2025-01-13,North,Cloud Storage Premium,3100,950,4.8
2025-01-14,South,Gemini Pro Subscription,1800,550,4.9
2025-01-15,East,Cloud Storage Basic,820,205,4.0
2025-01-16,West,AI Consulting Service,6000,1600,5.0
2025-01-17,North,Gemini Pro Subscription,1550,420,4.7
2025-01-18,South,Cloud Storage Premium,3200,1000,4.9
2025-01-19,East,AI Consulting Service,5100,1250,4.8
2025-01-20,West,Gemini Pro Subscription,1900,600,4.9